espn_team_id,name,nickname,abbreviation,logo,display_name,short_display_name
220009,India Under-21s Women,India Under-21s Women,IU21W,,India Under-21s Women,IU21W
414,New South Wales Under-19s,New South Wales Under-19s,NSW19,https://a.espncdn.com/i/teamlogos/cricket/500/414.png,New South Wales Under-19s,NSW19
719925,Brendan Taylor XI,Brendan Taylor XI,TAYXI,,Brendan Taylor XI,TAYXI
1524,Andhra Cricket Association XI,Andhra Cricket Association XI,,,Andhra Cricket Association XI,
2046,Rajasthan Under-19s,Rajasthan Under-19s,Raj19,https://a.espncdn.com/i/teamlogos/cricket/500/2046.png,Rajasthan Under-19s,Raj19
775635,Amo Sharks,Amo Sharks,AMSKS,https://a.espncdn.com/i/teamlogos/cricket/500/775635.png,Amo Sharks,AMSKS
1208116,Birmingham Phoenix (Women),Birmingham Phoenix (Women),BP-W,https://a.espncdn.com/i/teamlogos/cricket/500/1208116.png,Birmingham Phoenix (Women),BP-W
3534,Kandyan Ladies Cricket Club,Kandyan Ladies Cricket Club,Kandn,,Kandyan Ladies Cricket Club,Kandn
1219136,BA Blasting,BA Blasting,BAB,https://a.espncdn.com/i/teamlogos/cricket/500/1219136.png,BA Blasting,BAB
1379667,Bangladesh A Women,Bangladesh A Women,BAN-W,https://a.espncdn.com/i/teamlogos/cricket/500/1379667.png,Bangladesh A Women,BAN-W
1013571,Kapisa Province,Kapisa Province,KPISA,,Kapisa Province,KPISA
879649,Auckland Under-18s,Auckland Under-18s,Auk18,,Auckland Under-18s,Auk18
3020,Pakistan National Shipping Corporation,Pakistan National Shipping Corporation,,,Pakistan National Shipping Corporation,
1113219,Spartans,Spartans,SPA,,Spartans,SPA
205,Australian Capital Territory Under-19s Women,Australian Capital Territory Under-19s Women,ACT19,,Australian Capital Territory Under-19s Women,ACT19
1305401,Rupganj Tigers Cricket Club,Rupganj Tigers Cricket Club,RTCC,https://a.espncdn.com/i/teamlogos/cricket/500/1305401.png,Rupganj Tigers Cricket Club,RTCC
231561,Indira Road Krira Chakra,Indira Road Krira Chakra,INDRD,,Indira Road Krira Chakra,INDRD
1761,Haryana Under-22s,Haryana Under-22s,,,Haryana Under-22s,
1964,Nawanagar,Nawanagar,,,Nawanagar,
10032,Old Cranleighans,Old Cranleighans,,,Old Cranleighans,
1199388,Southern Punjab (Pakistan),Southern Punjab (Pakistan),SPNJB,https://a.espncdn.com/i/teamlogos/cricket/500/1199388.png,Southern Punjab (Pakistan),SPNJB
973725,Nangarhar Province Under-17s,Nangarhar Province Under-17s,NaU17,,Nangarhar Province Under-17s,NaU17
927295,European University of Bangladesh,European University of Bangladesh,EUB,,European University of Bangladesh,EUB
