id,position,cricsheet_name,unique_name,batting_style,bowling_style,matchpoints_avg,cost
0e0afd8b,Allrounder,MO Jones,MO Jones,Right-hand bat,Right-arm medium-fast,17.25,7
6f79d514,Unknown,M Walker,M Walker,Right-hand bat,Right-arm medium,12.5,7
2b47b093,Unknown,Najiyah Raynor,Najiyah Raynor,,,-1,7
3cc58287,Unknown,O Bascome,O Bascome,Right-hand bat,,11.24242424,7
94a1827c,Unknown,OGL Bascome,OGL Bascome,Right-hand bat,Right-arm medium,12.15151515,7
e78f5a8a,Unknown,Precious Smith,Precious Smith,,,,8
f71de062,Allrounder,OL Pitcher,OL Pitcher,Right-hand bat,Right-arm medium,12.57894737,7
9a137157,Batter,OO Bascome,OO Bascome,Right-hand bat,Right-arm medium,7.666666667,7
b0f23d14,Unknown,R Dill,R Dill,,,,7
fbc5c0c6,Bowler,RDM Leverock,RDM Leverock,Right-hand bat,Slow left-arm orthodox,24.76315789,7
b6af4f1b,Unknown,R Austin,R Austin,,,,8
c1ef6dad,Unknown,RD Steede,RD Steede,Right-hand bat,Right-arm fast-medium,9.333333333,7
f5853cef,Bowler,RJ Robinson,RJ Robinson,,,14.06896552,7
52f96571,Bowler,RJ Trott,RJ Trott,Right-hand bat,Right-arm offbreak,19.80263158,7
7a537011,Unknown,RSJ Burrows,RSJ Burrows,Left-hand bat,Legbreak googly,5.5,7
9485ed40,Wicketkeeper batter,S Bremar,S Bremar,Right-hand bat,,6.769230769,7
f416b534,Unknown,S Dill,S Dill,Right-hand bat,Right-arm medium,17.66666667,7
c744446d,Unknown,S Douglas,S Douglas,,,,6
9295145b,Batter,SD Outerbridge,SD Outerbridge,Left-hand bat,Right-arm offbreak,10.13043478,7
f0e58a83,Bowler,SKW Kelly,SKW Kelly,Right-hand bat,Right-arm fast-medium,9.333333333,7
